No,Device No1,Device No2,Category,Row_1,Row_2,Row_3,Row_4,Direct_Input,Confirm,Note
0,M0,,GOT一般,GOT_GEN,ｿﾌﾄﾘｾｯﾄ,,GLPB,,GOT_GEN ｿﾌﾄﾘｾｯﾄ         GLPB    ,
1,M1,,GOT一般,GOT_GEN,分割生産,ﾘｾｯﾄ,GLPB,,GOT_GEN 分割生産ﾘｾｯﾄ    GLPB    ,
2,M2,,GOT一般,GOT_GEN,故障解除,,GLPB,,GOT_GEN 故障解除        GLPB    ,
3,M3,,GOT一般,GOT_GEN,警報停止,,GLPB,,GOT_GEN 警報停止        GLPB    ,
4,M4,,GOT一般,GOT_GEN,日付変更,,GLPB,,GOT_GEN 日付変更        GLPB    ,
5,M5,,GOT一般,GOT_GEN,警報音,確認,GLPB,,GOT_GEN 警報音  確認    GLPB    ,
6,M6,,GOT一般,GOT_GEN,計測停止,,GLPB,,GOT_GEN 計測停止        GLPB    ,
7,M7,,GOT一般,GOT_GEN,非常停止,記憶解除,GLPB,,GOT_GEN 非常停止記憶解除GLPB    ,
8,M8,,GOT一般,GOT_GEN,工程,順送り,GLPB,,GOT_GEN 工程    順送り  GLPB    ,
9,M9,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
10,M10,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,連動運転,GLPB,,GOT_GEN ﾓｰﾄﾞ選択連動運転GLPB    ,
11,M11,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,連動A,GLPB,,GOT_GEN ﾓｰﾄﾞ選択連動A   GLPB    ,
12,M12,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,連動B,GLPB,,GOT_GEN ﾓｰﾄﾞ選択連動B   GLPB    ,
13,M13,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,連動C,GLPB,,GOT_GEN ﾓｰﾄﾞ選択連動C   GLPB    ,
14,M14,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,連動D,GLPB,,GOT_GEN ﾓｰﾄﾞ選択連動D   GLPB    ,
15,M15,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,ﾗｲﾝ単独,GLPB,,GOT_GEN ﾓｰﾄﾞ選択ﾗｲﾝ単独 GLPB    ,
16,M16,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,造型単独,GLPB,,GOT_GEN ﾓｰﾄﾞ選択造型単独GLPB    ,
17,M17,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,ﾓｰﾄﾞ選択,GLPB,,GOT_GEN ﾓｰﾄﾞ選択ﾓｰﾄﾞ選択GLPB    ,
